"le-boms-1-64","0.597"
"HW-SQL02_1","0.587"
"HAR-sysaid","0.573"
"scec-vmweb01","0.571"
"HEACOMAIL01_v2","0.568"
"le-vcenter-1-56","0.560"
"hw-fs02","0.533"
"CSS-SQL2_1","0.528"
"dsm-wh-portal","0.509"
"scec-sharepoint","0.508"
"HAR-HARWEB1","0.490"
"IMA-Demo01","0.477"
"ccm-lkl-dc1","0.475"
"ARS-DC01.arsavage.com","0.461"
"harmail16","0.459"
"CSS-SQL1_1","0.457"
"heacodarwin1","0.454"
"le-sql-1-90","0.441"
"Oaisys-SQL_1","0.437"
"CSS-DSM-OM_DNB","0.418"
"CSS-DC1_1","0.413"
"SVR-DATA","0.397"
"le-sql-1-94","0.387"
"BWFELLFS01_2","0.385"
"dsm-wh-cvcs01","0.376"
"LE-WEB-1-93","0.376"
"LE-3PAR-MGMT-1-151","0.374"
"LE-WEB-61-2__Internet__2f_SFTP_","0.354"
"HAR-HARDEV1","0.338"
"oaisys-recorder","0.337"
"dsm-wh-reportnc","0.337"
"HAR-HARFS2","0.333"
"DSM-WH-MGT01","0.329"
"BULLSEYE","0.324"
"le-dc-1-46","0.319"
"scec-vmsql03","0.294"
"HW-RDS-SH06_1","0.294"
"CSS-DC2_1","0.291"
"IMA-Demo04","0.290"
"HAR-HARFIN1","0.286"
"HAR-HERA","0.284"
"scec-vmdc01","0.284"
"LE-ICM-1-105__Case_Closed_","0.280"
"LE-MON-1-111__Monitoring_and_Syslog_","0.278"
"ccm-lkl-sql","0.277"
"scec-rds01","0.274"
"le-skype-1-52","0.269"
"d888sre2","0.261"
"HW-GUAT-CB01_keep_offline_","0.251"
"hr-pc","0.241"
"FW-WH-SAGE01","0.237"
"HAR-HARFS1","0.236"
"HW-SQL03_1","0.235"
"le-dc-1-38","0.234"
"HAR-HARFS3","0.232"
"HAR-HARBUILD1","0.230"
"bwfellmgmt01","0.229"
"HW-RDS-SH04_1","0.220"
"HAR-HARTASK1","0.214"
"LE-DHCP-1-50__Lee_DHCP_","0.207"
"w7lap_asherwood2","0.204"
"LE-PRT-1-75__2012_Print_Server_","0.196"
"RDS-CLCT-V01","0.195"
"HW-WEBPROD_1","0.193"
"SVR-TERM","0.189"
"Mailsrv01.penflorida.org_1_","0.189"
"HW-Powerdialer_keep_off_","0.180"
"RDS-GSH-V01","0.177"
"fw-wh-ad01","0.174"
"hw-rds-sh10-709_keep_off_","0.173"
"RDS-GSH-V02","0.169"
"HW-CRSDEVRPT_1","0.169"
"PF-MGMT01","0.159"
"PF-DC01","0.158"
"LE-ADFS-1-62__2016_Core_","0.157"
"HW-RDS-SH07_Restore_keep_off_","0.156"
"fedor","0.154"
"rhc-ad-01","0.154"
"d888sMA2","0.148"
"HW-RDS-SH09_keep_off_","0.144"
"HW-RDS-SH03_keep_off_","0.143"
"BWFellFamous01_2","0.139"
"RHC-RDSH-01_2","0.138"
"HW-RDS-SH05_keep_off_","0.135"
"HW-RDS-SH02_1","0.135"
"FW-WH-DM2P01","0.134"
"FW-WH-RDS01","0.134"
"RHC-RDSH-02","0.133"
"d888sUC2","0.130"
"hw-vcenter","0.130"
"RDS-SH-V01","0.129"
"d888sad2","0.129"
"HAR-HARRDSGW","0.126"
"fedor_1","0.125"
"RDS-SH-V04","0.123"
"LE-SS-1-233","0.122"
"HW-SQL05_1","0.120"
"SPSRV","0.114"
"HW-GUAT-GW01_keep_off_","0.111"
"HeacoSQL2","0.106"
"LE-DC-1-33__2016_Domain_Controller_","0.106"
"RDS-CB-V01","0.106"
"svr-dc1","0.105"
"prodoc","0.105"
"RDS-SH-V05","0.104"
"le-cv-1-82","0.104"
"HAR-HARRPT1","0.101"
"RDS-SH-V02","0.100"
"RDS-SH-V03","0.100"
"HAR-HARKACE1","0.099"
"HW-DOCUHPDM_1","0.099"
"HW-SPSRV_Do_Not_Power_On","0.098"
"dsm-wh-vbr01","0.096"
"RDS-GW-V01","0.095"
"HW-TS1","0.093"
"SAFM44_HSMV_Printing_","0.092"
"test-srv-term","0.092"
"HEACO-DSM_OM","0.090"
"FW-WH-SAS01","0.087"
"RHC-WDM-01","0.087"
"hw-dc01","0.086"
"OSSEC-V01","0.086"
"HW-WEBProd02","0.084"
"HeacoRDS1","0.082"
"HW-CRSTESTAPP02","0.082"
"d888sAD1","0.081"
"bwfelldc01","0.080"
"HW-WEBDEV_1","0.078"
"DSM-WH-RESVCA01","0.076"
"BWFELLSQL01_2","0.075"
"hw-rds-sh11-708_keep_off_","0.073"
"HAR-HARADFS","0.073"
"HW-PRTSVR","0.072"
"dsm-wh-vac01","0.071"
"harprt1-826","0.071"
"HAR-HARICA1","0.071"
"hw-bio-v01","0.070"
"HW-TS2","0.069"
"svr-host","0.068"
"DSM-WH-CVMA-03","0.065"
"WSUS-V01","0.065"
"heacodc2","0.065"
"dsm-wh-vem01","0.065"
"DSM-WH-CVMA-04","0.064"
"SAFM14-PS-17-45__FDLE_Printing_","0.063"
"d888sOC2","0.062"
"RemoteAccess.penflorida.org_1_","0.059"
"RHC-RDSBROKER-01","0.058"
"RHC-RDSGWY-01","0.057"
"HW-CRSAPP02_1","0.056"
"DSM-WH-MGTVCA01_1","0.056"
"APPSERVER1","0.056"
"DATAENTRY-V01","0.056"
"ARS-SQL01.arsavage.com","0.055"
"Premium1_SAO20_STR_DPWH_IndexServer","0.053"
"RHC-AD-02","0.051"
"HAR-HARRDS2","0.049"
"HAR-HARRDS3","0.049"
"HAR-HARRDS1","0.049"
"HEACOIT1","0.048"
"BWTerminalFL_New","0.048"
"HW-ADFS_1","0.046"
"Heaco-ADFS","0.046"
"sales48","0.045"
"ARS-RDS01.arsavage.comKeepOff","0.045"
"HAR-silverking","0.044"
"lap-lkl-drobins","0.043"
"HAR-xena","0.042"
"ARS-MGT01.arsavage.com","0.042"
"HW-RDS-CB01_1","0.041"
"dsm-wh-ansible01-129","0.041"
"hardc1-799","0.040"
"HW-CRMBE_1","0.038"
"HW-CRMDEV","0.033"
"APPSERVER-V01","0.033"
"karltablet","0.033"
"DSM-WH-VCDLI01","0.033"
"DSM-WH-NSXMGT01","0.032"
"SVR-DC2","0.032"
"custer","0.031"
"MIKER-LT","0.031"
"DSM-WH-VCDKMS01","0.030"
"dsm-wh-vrep01","0.030"
"dsm-wh-vrep02","0.030"
"VCSA","0.030"
"HAR-HARDC2","0.029"
"HWI-DSM-OM_keep_offline_","0.029"
"BWFellDC02_2","0.028"
"vtsus2","0.028"
"HW-ADFS","0.027"
"DC-V01","0.027"
"DSM-WH-VROPS01","0.027"
"APPSERVER2","0.026"
"HW-SQLRPTEST01","0.026"
"dsm-wh-cvsds01","0.025"
"dsm-wh-cvsds02","0.025"
"dsm-wh-cvsds03","0.025"
"dsm-wh-cvma02","0.024"
"ars-sql01","0.024"
"HW-CRSDB","0.024"
"apollo","0.023"
"css-sql1","0.022"
"dsm-wh-cvindx01","0.022"
"HW-CRSRPT","0.021"
"DSM-WH-Scan01","0.021"
"dsm-wh-cvma01","0.020"
"ars-apps","0.020"
"dsm-wh-vpxy01","0.020"
"dsm-wh-vpxy02","0.020"
"Premium2_SAO20_STR_DPWH_IndexServer","0.019"
"HW-DIRSYNC01.1_keep_off_","0.019"
"DSM-WH-VCDPG01","0.017"
"Premium2_WH_IndexServer","0.016"
"dsm-security","0.016"
"CCM-LKL-VSA_1","0.016"
"SVR-SH1","0.015"
"HW-DHCP","0.014"
"DSM-WH-VCDPXY01","0.014"
"dsm-wh-c365sp01","0.014"
"HW-RDS-GW01_keep_offline_","0.014"
"DC-V02","0.012"
"SysAid","0.012"
"hw-dc1","0.012"
"SVR-RDGW","0.010"
"css-sql2","0.009"
"HW-GIT_keep_off_","0.009"
"DSM-WH-VCDUM01","0.009"
"HW-VIRT-GWAY_----_DO_NOT_POWER_ON","0.009"
"DHCP-V01","0.007"
"dsm-wh-c365px01","0.007"
"dsm-wh-c365px02","0.007"
"Standard2_WH_IndexServer","0.006"
"VM Client ID = 1145","0.006"
"SAO20_S9_LTR_IndexServer","0.005"
"DSM-WH-VCDCELL01","0.005"
"SAO20-DFS-48-48_IndexServer","0.005"
"hw-sql05","0.004"
"VM Client ID = 1063","0.004"
"DSM-WH-VCDCELL02","0.004"
"GIT-V01","0.003"
"CCM-LKL-CVMA-01","0.003"
"dsm-lk-cvma-02","0.003"
"HW-CRSAPP_Delete_12_2f27_2f2017","0.003"
"Heaco-DNS2","0.003"
"Heaco-DNS1","0.003"
"Standard1_LK_IndexServer","0.002"
"CCM-vMA","0.002"
"DSM-WH-VCDCDB01","0.002"
"DSM-WH-VCDCDB03","0.002"
"DSM-WH-VCDCDB04","0.002"
"DSM-WH-VCDCDB02","0.002"
"Premium1_CCM_STR_DPWH_IndexServer","0.002"
"kherrington-del","0.002"
"dsm-lk-cvma-01","0.002"
"Premium1_WH_IndexServer","0.001"
"HEACOCK_WH_FW_1","0.001"
"Economy1_SAO20_STR_DPWH_IndexServer","0.001"
"Standard1_WH_IndexServer","0.001"
"FW_PFSense01","0.001"
"ARSAVAGE_PFSense","0.001"
"Economy2_WH_IndexServer","0.001"
"FM_ArchiveTest_WH_IndexServer","0.000"
"Economy1_WH_IndexServer","0.000"
"Premium1_CCM_LTR_DPWH_IndexServer","0.000"
"SP_GDSP_CVSDS-Pool01_(25)_IndexServer","0.000"
"SIMS_14Day_2_IndexServer","0.000"
"css-dc2","0.000"
"HEACOCK_WH_FW","0.000"
"HEACOCK_WH_14DAY_IndexServer","0.000"
"Hunter_VM_Backups","0.000"
"ars-dc01","0.000"
"dsm-wh-om","0.000"
"SIMS_WH_14Day_IndexServer","0.000"

Details
"Client","Agent","Instance","Subclient","Storage Policy","Copy","Library","Retention","Application Size (TB)","Data Written (TB)","Client Group"
"46-pc","Windows File System","DefaultInstanceName","default","Premium1_CCM_LTR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","3.563","0.429","Clark Campbell Servers; Clark Campbell"
"46-pc","Windows File System","DefaultInstanceName","default","Premium1_CCM_LTR_DPWH","Standard1_CCM_Cloud","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","5.944","0.487","Clark Campbell Servers; Clark Campbell"
"apollo","SQL Server","APOLLO","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.068","0.015","Hunter Warfield"
"apollo","SQL Server","APOLLO","default","Economy2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO\ADPDB","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO\ADPDB","default","Economy2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO\ADPDB","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO\SHAREPOINT","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.001","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO\SHAREPOINT","default","Economy2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","SQL Server","APOLLO\SHAREPOINT","default","Economy2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","2 day(s);1 Cycle(s)","0.000","0.000","Hunter Warfield"
"apollo","Windows 2003 32-bit File System","DefaultInstanceName","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.017","0.004","Hunter Warfield"
"apollo","Windows 2003 32-bit File System","DefaultInstanceName","HWI_2003Physical_OneTimeApollo","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.019","0.004","Hunter Warfield"
"APPSERVER1","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.476","0.039","HW-Vcenter"
"APPSERVER1","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.081","0.017","HW-Vcenter"
"APPSERVER2","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.221","0.018","HW-Vcenter"
"APPSERVER2","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.037","0.008","HW-Vcenter"
"APPSERVER-V01","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","0.292","0.024","HW-Vcenter"
"APPSERVER-V01","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.042","0.009","HW-Vcenter"
"ars-apps","Windows 2003 32-bit File System","DefaultInstanceName","default","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.091","0.020","AR Savage; AR Savage-On Premise"
"ARSAVAGE_PFSense","Virtual Server in dsm-wh-vca01","VMware","Tier 1","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.003","0.001","dsm-wh-vca01; AR Savage"
"ars-dc01","Active Directory","DefaultInstanceName","default","Standard1_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.000","0.000","AR Savage; ars-esxi01"
"ars-dc01","Active Directory","DefaultInstanceName","default","Standard1_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.000","0.000","AR Savage; ars-esxi01"
"ARS-DC01.arsavage.com","Virtual Server in dsm-wh-vca01","VMware","Tier 1","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","2.139","0.461","dsm-wh-vca01; AR Savage"
"ARS-MGT01.arsavage.com","Virtual Server in dsm-wh-vca01","VMware","Tier 1","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.197","0.042","dsm-wh-vca01; AR Savage"
"ARS-RDS01.arsavage.comKeepOff","Virtual Server in dsm-wh-vca01","VMware","Tier 1","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.211","0.045","dsm-wh-vca01; AR Savage"
"ars-sql01","SQL Server","ARS-SQL01","GatShip","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.170","0.014","AR Savage; ars-esxi01"
"ars-sql01","SQL Server","ARS-SQL01","GatShip","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.047","0.010","AR Savage; ars-esxi01"
"ars-sql01","SQL Server","ARS-SQL01","GatShip","Standard2_WH_TLOGS","Primary","DSM_WH_DiskLibrary","4 day(s);1 Cycle(s)","0.000","0.000","AR Savage; ars-esxi01"
"ars-sql01","SQL Server","ARS-SQL01","GatShip","Standard2_WH_TLOGS","Primary-SO","DiskLib_CVSDS-Pool01","4 day(s);1 Cycle(s)","0.000","0.000","AR Savage; ars-esxi01"
"ars-sql01","SQL Server","ARS-SQL01","SystemDBs","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.001","0.000","AR Savage; ars-esxi01"
"ars-sql01","SQL Server","ARS-SQL01","SystemDBs","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.000","0.000","AR Savage; ars-esxi01"
"ARS-SQL01.arsavage.com","Virtual Server in dsm-wh-vca01","VMware","Tier 1","Economy2_WH","Primary-SO","DiskLib_CVSDS-Pool01","7 day(s);1 Cycle(s)","0.256","0.055","dsm-wh-vca01; AR Savage"
"BULLSEYE","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary","DSM_WH_DiskLibrary","35 day(s);1 Cycle(s)","2.611","0.214","HW-Vcenter"
"BULLSEYE","Virtual Server in hw-vcenter","VMware","PROD_2AM_SATsynthFULL","Premium2_WH","Primary-SO","DiskLib_CVSDS-Pool01","35 day(s);1 Cycle(s)","0.510","0.110","HW-Vcenter"
"bwfelldc01","Virtual Server in bwfellVC01","VMware","Fellsmere Tier 1","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.223","0.018","bwfellVC01; B&W Growers Fellsmere; B&W Growers"
"bwfelldc01","Virtual Server in bwfellVC01","VMware","Fellsmere Tier 1","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.081","0.017","bwfellVC01; B&W Growers Fellsmere; B&W Growers"
"bwfelldc01","Windows File System","DefaultInstanceName","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.259","0.021","bwfellVC01; B&W Growers Fellsmere; B&W Growers"
"bwfelldc01","Windows File System","DefaultInstanceName","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.111","0.024","bwfellVC01; B&W Growers Fellsmere; B&W Growers"
"BWFellDC02_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.188","0.015","BW_Cloud_Backup"
"BWFellDC02_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.061","0.013","BW_Cloud_Backup"
"BWFellFamous01_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.826","0.068","BW_Cloud_Backup"
"BWFellFamous01_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.331","0.071","BW_Cloud_Backup"
"BWFELLFS01_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","2.090","0.171","BW_Cloud_Backup"
"BWFELLFS01_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.993","0.214","BW_Cloud_Backup"
"bwfellmgmt01","Windows File System","DefaultInstanceName","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","1.193","0.098","bwfellVC01; B&W Growers Fellsmere; B&W Growers"
"bwfellmgmt01","Windows File System","DefaultInstanceName","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.608","0.131","bwfellVC01; B&W Growers Fellsmere; B&W Growers"
"BWFELLSQL01_2","SQL Server","BWFELLSQL01","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.027","0.002","BW_Cloud_Backup"
"BWFELLSQL01_2","SQL Server","BWFELLSQL01","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.007","0.002","BW_Cloud_Backup"
"BWFELLSQL01_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.532","0.044","BW_Cloud_Backup"
"BWFELLSQL01_2","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.124","0.027","BW_Cloud_Backup"
"BWTerminalFL_New","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.322","0.026","BW_Cloud_Backup"
"BWTerminalFL_New","Virtual Server in BW_Cloud_Backup","VMware","default","Standard2_WH","Primary-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.103","0.022","BW_Cloud_Backup"
"CCM-LKL-CVMA-01","Windows File System","DefaultInstanceName","DDBBackup","Premium1_CCM_STR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","0.022","0.003","Media Agents; Infrastructure; APSS - Windows MediaAgents; Clark Campbell Servers; Clark Campbell"
"ccm-lkl-dc1","Virtual Server in CCM-LKL-VSA","VMware","CCM_VMs_STR","Premium1_CCM_STR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","0.206","0.025","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Virtual Server in CCM-LKL-VSA","VMware","CCM_VMs_STR","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.103","0.008","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Virtual Server in CCM-LKL-VSA","VMware","CCM_VMs_STR","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.103","0.022","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Virtual Server in CCM-VCSA","VMware","CCM_VMs_STR","Premium1_CCM_STR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","1.137","0.137","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Virtual Server in CCM-VCSA","VMware","CCM_VMs_STR","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.454","0.037","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Virtual Server in CCM-VCSA","VMware","CCM_VMs_STR","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.454","0.098","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Windows File System","DefaultInstanceName","default","Premium1_CCM_STR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","0.556","0.067","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Windows File System","DefaultInstanceName","default","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.272","0.022","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-dc1","Windows File System","DefaultInstanceName","default","Premium1_CCM_STR_DPWH","Standard1_CCM_Cloud-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.272","0.059","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-ex2013","Exchange Database","defaultInstance","default","Premium1_CCM_LTR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","5.246","0.632","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-ex2013","Exchange Database","defaultInstance","default","Premium1_CCM_LTR_DPWH","Standard1_CCM_Cloud","DSM_WH_DiskLibrary","14 day(s);1 Cycle(s)","0.334","0.027","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-ex2013","Exchange Database","defaultInstance","default","Premium1_CCM_LTR_DPWH","Standard1_CCM_Cloud-SO","DiskLib_CVSDS-Pool01","14 day(s);1 Cycle(s)","0.240","0.052","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-ex2013","Virtual Server in CCM-LKL-VSA","VMware","CCM_AA_VMs_LTR","Premium1_CCM_LTR_DPWH","Premium1_CCM_Cloud_3YR","DSM_WH_DiskLibrary","1095 day(s);3 Cycle(s)","3.093","0.674","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
"ccm-lkl-ex2013","Virtual Server in CCM-LKL-VSA","VMware","CCM_AA_VMs_LTR","Premium1_CCM_LTR_DPWH","Primary","CCM_LKL_BACKUPS","35 day(s);2 Cycle(s)","2.673","0.322","Media Agents; Infrastructure; CCM-LKL-VSA; Clark Campbell Servers; Clark Campbell; CCM-VCSA"
